"Name","NumOfPublications"
ATC,234
ATCI,174
ATCS/SePrIoT@SecureComm,23
ATIS,125
ATMOS,334
ATNAC,88
ATOP@AAMAS,27
ATS,665
ATSIP,605
ATT@IJCAI,41
ATVA,689
ATx/WInG@IJCAR,8
AUIC,241
AUSCRYPT,86
AUTOMATA,58
AUTOMATION,401
AVBPA,339
AVEC@ACM Multimedia,45
AVEC@MM,41
AVI,1248
AVI*CH,22
AVI-BDA/ITAVIS@AVI,15
AVR,132
AVR (1),186
AVR (2),191
AVSP,583
AVSS,1529
AVoCS,71
AWC,23
AWIC,229
AWOC,48
AWPN,48
Abdominal Imaging,99
Abstract Software Specifications,17
Abstract State Machines,112
AccessNets,143
Accurate Scientific Computations,13
Actes d'IC,105
Active Conceptual Modeling of Learning,18
Active Middleware Services,50
Active Mining,20
AdKDD@KDD,44
Ada Deutschland Tagung,9
Ada Software Tools Interfaces,11
Ada-Europe,680
Adaption and Learning in Multi-Agent Systems,16
Adaptive Agents and Multi-Agent Systems,22
Adaptive Agents and Multi-Agents Systems,35
Adaptive Multimedia Retrieval,154
Advanced Course: Distributed Systems,32
Advanced Course: Fundamentals of Artificial Intelligence,8
Advanced Course: Local Area Networks,16
Advanced Course: Microcomputer System Design,10
Advanced Course: Net Theory and Applications,20
Advanced Course: Software Engineering,19
Advanced Functional Programming,52
Advanced Information Processing Techniques for LAN and MAN Management,23
Advanced Lectures on Machine Learning,10
Advanced Studies in Biometrics,12
Advanced Topics in Artificial Intelligence,35
Advanced Visual Interfaces,119
Advances In Computational Complexity Theory,15
Advances in Computer Entertainment,282
Advances in Computer Entertainment Technology,711
Advances in Computer Graphics,59
Advances in Computer Graphics Hardware,60
Advances in Computer Graphics Hardware V,13
Advances in Data Base Theory,27
Advances in Exception Handling Techniques,18
Advances in Information Recording,12
Advances in Modal Logic,328
Advances in Network Information Theory,23
Advances in Petri Nets,36
Advances in Plan-Based Control of Robotic Agents,17
Advances in Switching Networks,22
AfCAI,36
AffComp@IJCAI,18
AffCon@AAAI,49
AffectRE@RE,11
AfriCHI,195
AfricaNLP,91
African Americans in Mathematics,23
Afrigraph,149
AgeingAI@AI*IA,10
"Agent Technologies, Infrastructures, Tools, and Applications for E-Services",27
AgentLink,26
Agents,520
Agents Workshop on Infrastructure for Multi-Agent Systems,32
Agents and Computational Autonomy,22
"Agents and Multi-Agent Systems Formalisms, Methodologies, and Applications",18
Agil-ISE@CAiSE,21
Agile Development Conference,41
Agile MDE/MeSS/TTC@STAF,21
Agro-Geoinformatics,523
AiML,76
AiOfAi@IJCAI,13
AlCoB,121
Algebraic Coding,53
Algebraic Coding Theory and Information Theory,13
Algebraic Logic and Universal Algebra in Computer Science,17
Algebraic Methods,34
Algebraic Methods in Computational Complexity,24
Algebraic and Coalgebraic Methods in the Mathematics of Program Construction,10
Algebraic and Numerical Algorithms and Computer-assisted Proofs,10
Algebraic and Proof-theoretic Aspects of Non-classical Logics,18
Algorithmic Algebra and Number Theory,23
Algorithmic Aspects of Large and Complex Networks,9
Algorithmic Probability and Friends,36
Algorithmic-Logical Theory of Infinite Structures,7
Algorithms and Complexity for Continuous Problems,27
Algorithms and Number Theory,8
Algorithms and Parallel VLSI Architectures,41
Algorithms for Memory Hierarchies,19
Algorithms in Modern Mathematics and Computer Science,30
AllThingsCellular@SIGCOMM,24
Allerton,2456
AltMM@MM,27
Alvey Vision Conference,150
AmI,389
AmI (Workshops/Posters),33
AmI Workshops,125
AmILP@ECAI,8
Ambient Intelligence for Scientific Discovery,15
"Amsterdam Colloquium on Logic, Language and Meaning",97
"Analyse dynamischer Systeme in Medizin, Biologie und Ökologie",33
Analysis and Optimization of Differential Systems,44
Analysis of Dynamical and Cognitive Systems,11
"Annotating, Extracting and Reasoning about Time and Events",24
Annual Linux Showcase & Conference,68
Annual Simulation Symposium,704
Anonymous Communication and its Applications,4
Answer Set Programming,85
AofA,85
ApPLIED@PODC,53
ApplePies,453
Application and Theory of Petri Nets,154
Applications and Theory of Petri Nets,58
Applications of Invariance in Computer Vision,27
Applied Geometry And Discrete Mathematics,50
Applied Informatics,501
ArabWIC,49
Architecting Systems with Trustworthy Components,18
Architecture and Protocols for High-Speed Networks,17
ArgMAS,132
ArgMining@ACL,61
ArgMining@EMNLP,85
ArgNLP,15
Art@CHI,13
Artificial Evolution,286
Artificial Intelligence and Applications,353
Artificial Intelligence and Pattern Recognition,139
Artificial Intelligence and Soft Computing,141
Artificial Intelligence in Higher Education,31
ArtsIT,203
ArtsIT (1),15
ArtsIT (2),27
ArtsIT/DLI,209
Asia International Conference on Modelling and Simulation,533
Asia-Pacific Computer Systems Architecture Conference,250
AsiaCCS,1209
AsiaHaptics,235
AsiaJCIS,230
AsiaPKC@AsiaCCS,27
AsiaSim,213
AsiaSim (1),113
AsiaSim (2),101
Asian CHI@CHI,22
